Time,Temperature,Humidity,Pressure,Pm2.5,Pm10
11:12:16,15.32,76.52,76.97,13.72,33.96
11:12:18,31.45,68.21,90.01,29.06,53.73
11:12:36,67.58,67.53,28.69,13.39,54.04
11:12:38,77.85,94.2,4.57,41.16,18.54
11:12:56,43.63,26.34,0.1,26.74,77.18
11:12:58,97.26,96.63,75.21,87.22,20.93
11:13:16,71.04,95.65,88.48,85.94,36.17
11:13:18,90.95,44.79,76.17,39.63,84.34
11:13:37,22.23,46.38,30.69,20.03,41.78
11:13:38,38.93,98.23,67.12,75.2,97.77
11:13:57,88.94,39.11,45.76,77.37,65.12
11:13:58,49.2,42.97,37.09,80.0,8.54
11:14:17,85.66,22.45,37.64,48.68,51.89
11:14:18,92.1,75.63,50.93,74.29,91.25
11:14:37,98.19,48.83,73.25,25.79,21.41
11:14:38,55.31,27.55,52.92,80.06,34.11
11:14:57,21.83,68.57,83.55,50.43,20.81
11:14:58,47.42,89.41,56.85,1.83,34.44
11:15:17,67.54,62.69,72.57,18.41,59.25
11:15:18,57.41,40.55,71.48,4.56,43.16
11:15:37,87.25,40.31,90.88,4.4,68.97
11:15:39,41.11,8.62,32.42,30.68,53.66
11:15:57,47.66,77.43,8.03,23.1,3.33
11:15:59,66.62,71.93,85.1,48.55,96.16
11:16:17,88.66,38.33,73.59,59.03,72.06
11:16:19,1.22,72.42,43.21,94.11,27.27
11:16:37,37.12,24.02,39.26,56.66,65.49
11:16:39,42.38,36.53,98.53,52.19,2.47
11:16:57,82.02,93.3,83.75,4.5,50.86
11:16:59,3.87,43.73,69.47,74.9,13.43
11:17:17,91.81,10.98,32.97,52.91,89.74
11:17:19,70.3,6.93,36.56,65.37,47.63
11:17:37,40.43,70.19,41.63,97.65,45.62
11:17:39,3.14,11.52,47.22,21.96,99.14
11:17:57,27.27,12.31,53.33,53.84,76.95
11:17:59,40.48,47.95,74.41,42.82,21.34
11:18:17,58.13,11.7,45.4,10.04,77.72
11:18:19,2.99,91.2,54.59,14.07,26.53
11:18:37,13.07,83.59,90.7,48.05,95.08
11:18:39,96.17,42.1,54.5,44.38,58.82
11:18:57,97.13,50.54,47.88,95.13,7.45
11:18:59,88.73,66.74,65.46,53.73,6.28
